minute,Croatia_xG,France_xG,Croatia_Goal,France_Goal
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,1
18,0,0,0,0
19,0,0,0,0
20,0.041080866,0,0,0
21,0.041080866,0,0,0
22,0.041080866,0,0,0
23,0.10731596099999999,0,0,0
24,0.10731596099999999,0,0,0
25,0.10731596099999999,0,0,0
26,0.10731596099999999,0,0,0
27,0.17114486099999998,0,1,0
28,0.17114486099999998,0,0,0
29,0.17114486099999998,0,0,0
30,0.17114486099999998,0,0,0
31,0.17114486099999998,0,0,0
32,0.17114486099999998,0,0,0
33,0.17114486099999998,0,0,0
34,0.17114486099999998,0,0,0
35,0.17114486099999998,0,0,0
36,0.17114486099999998,0.76,0,0
37,0.17114486099999998,0.76,0,1
38,0.17114486099999998,0.76,0,0
39,0.268128696,0.76,0,0
40,0.268128696,0.76,0,0
41,0.268128696,0.76,0,0
42,0.37032284800000004,0.76,0,0
43,0.370322848,0.76,0,0
44,0.370322848,0.76,0,0
45,0.492838518,0.76,0,0
46,0.492838518,0.76,0,0
47,0.492838518,0.788644508,0,0
48,0.575158996,0.788644508,0,0
49,0.5849281239999999,0.788644508,0,0
50,0.584928124,0.788644508,0,0
51,0.584928124,0.8874363479999999,0,0
52,0.584928124,0.887436348,0,0
53,0.584928124,0.887436348,0,0
54,0.584928124,0.887436348,0,0
55,0.584928124,0.887436348,0,0
56,0.584928124,0.887436348,0,0
57,0.584928124,0.887436348,0,0
58,0.584928124,0.977020183,0,1
59,0.584928124,0.977020183,0,0
60,0.584928124,1.0194740930000001,0,0
61,0.584928124,1.019474093,0,0
62,0.584928124,1.019474093,0,0
63,0.631384021,1.019474093,0,0
64,0.631384021,1.052228555,0,1
65,0.631384021,1.052228555,0,0
66,0.631384021,1.0522285550000001,0,0
67,0.631384021,1.0522285550000001,0,0
68,1.188800281,1.0522285550000001,1,0
69,1.188800281,1.0522285550000001,0,0
70,1.188800281,1.0522285550000001,0,0
71,1.188800281,1.0522285550000001,0,0
72,1.188800281,1.0522285550000001,0,0
73,1.188800281,1.0522285550000001,0,0
74,1.188800281,1.0522285550000001,0,0
75,1.200404226,1.0522285550000001,0,0
76,1.200404226,1.0522285550000001,0,0
77,1.241928331,1.0522285550000001,0,0
78,1.241928331,1.0522285550000001,0,0
79,1.241928331,1.0522285550000001,0,0
80,1.241928331,1.0522285550000001,0,0
81,1.241928331,1.0522285550000001,0,0
82,1.241928331,1.0522285550000001,0,0
83,1.241928331,1.0522285550000001,0,0
84,1.241928331,1.0522285550000001,0,0
85,1.241928331,1.0522285550000001,0,0
86,1.241928331,1.062986012,0,0
87,1.241928331,1.062986012,0,0
88,1.25369905,1.062986012,0,0
89,1.25369905,1.062986012,0,0
90,1.25369905,1.062986012,0,0
91,1.25369905,1.062986012,0,0
92,1.25369905,1.062986012,0,0
93,1.25369905,1.062986012,0,0
94,1.25369905,1.062986012,0,0
95,1.25369905,1.062986012,0,0
